Type,Trans Date,Post Date,Description,Amount
SALE,08/14/2015,08/16/2015,"LA MAISON DE LA CREPE",-32.75
SALE,08/18/2015,08/20/2015,"CCI MITRE CORP",-2.84
SALE,10/13/2015,10/14/2015,"RITE AID STORE - 10162",-3.71
SALE,09/24/2015,10/04/2015,"CCI MITRE CORP",-1.93
SALE,10/20/2015,10/22/2015,"CCI MITRE CORP",-2.51
SALE,09/21/2015,09/23/2015,"CCI MITRE CORP",-8.77
SALE,09/13/2015,09/14/2015,"BOBBY VANS GRILL",-10.00
SALE,09/28/2015,10/04/2015,"CCI MITRE CORP",-1.93
SALE,10/14/2015,10/16/2015,"CCI MITRE CORP",-1.93
SALE,09/23/2015,09/25/2015,"WEST SOMERVILLE DENTAL",-338.00
SALE,10/09/2015,10/11/2015,"CCI MITRE CORP",-7.28
SALE,11/02/2015,11/04/2015,"UNION OYSTER HOUSE",-60.00
SALE,10/16/2015,10/18/2015,"RITE AID STORE - 10162",-21.24
SALE,09/12/2015,09/16/2015,"PATAGONIA            1353",-24.59
SALE,09/17/2015,09/20/2015,"LONGHORN STEAK00051078",-29.59
SALE,10/02/2015,10/04/2015,"CCI MITRE CORP",-7.76
SALE,10/17/2015,10/18/2015,"STOP & SHOP 0087",-37.09
SALE,11/04/2015,11/06/2015,"CCI MITRE CORP",-7.22
SALE,08/17/2015,08/24/2015,"AUBERGE VILLA BELLERIV",-445.05
SALE,10/24/2015,10/26/2015,"EXXONMOBIL    97522478",-16.91
SALE,10/04/2015,10/05/2015,"#07563 STAR MARKET",-85.42
SALE,10/07/2015,10/08/2015,"UNITED      0162466394849",-625.20
SALE,11/08/2015,11/10/2015,"SOMERVILLE THEATRE",-22.00
SALE,10/05/2015,10/06/2015,"TITAN GAS STATION",-27.41
SALE,10/13/2015,10/14/2015,"STOP & SHOP 2411",-55.42
SALE,09/13/2015,09/15/2015,"STARBUCKS T8  10431617",-3.54
SALE,09/18/2015,09/20/2015,"STARBUCKS #10516 FAIRBORN",-5.05
SALE,10/26/2015,10/28/2015,"CCI MITRE CORP",-2.78
SALE,10/05/2015,10/06/2015,"DOWNTOWN WINE & SPIRITS",-21.25
SALE,08/15/2015,08/18/2015,"SHELL 231 RUE DE ST-JOVIT",-4.57
SALE,09/29/2015,10/01/2015,"MBTA ALEWIFE",-20.00
SALE,10/19/2015,10/21/2015,"THE HOME DEPOT 2667",-10.97
SALE,09/14/2015,09/15/2015,"CVS/PHARMACY #08319",-35.68
SALE,09/04/2015,09/06/2015,"STARBUCKS T8  10431617",-2.72
SALE,09/04/2015,09/06/2015,"CHIPOTLE 1036",-11.98
SALE,10/13/2015,10/15/2015,"CCI MITRE CORP",-7.28
PAYMENT,10/10/2015,10/11/2015,"Payment Thank You-Mobile",2021.49
SALE,11/07/2015,11/08/2015,"WHOLEFDS BKL #10508",-3.21
SALE,10/26/2015,10/28/2015,"BALL SQUARE FINE WINES AN",-11.49
SALE,10/22/2015,10/25/2015,"CCI MITRE CORP",-1.87
SALE,11/01/2015,11/02/2015,"CHIPOTLE 1036",-9.47
SALE,10/29/2015,10/30/2015,"MICHAELS STORES 5066",-20.15
SALE,11/05/2015,11/08/2015,"CCI MITRE CORP",-5.39
SALE,11/09/2015,11/10/2015,"FAMILY DOLLAR #2718",-10.63
SALE,08/13/2015,08/16/2015,"GN AUTO ELECTRIQUE",-40.76
SALE,09/01/2015,09/02/2015,"RITE AID STORE - 10162",-8.48
SALE,11/05/2015,11/08/2015,"The Wine Press",-19.99
PAYMENT,08/17/2015,08/17/2015,"Payment Thank You-Mobile",1323.60
SALE,10/23/2015,10/25/2015,"CCI MITRE CORP",-3.10
SALE,09/16/2015,09/18/2015,"VENTURE T3 SAL22635585",-8.83
